total_size,draw,method,accuracy
30,12,LOGIS,0.7666666666666667
30,12,SVM,0.7666666666666666
30,12,KNN,0.6333333333333333
30,12,RF,0.7666666666666666
30,12,XGB,0.6333333333333333
30,13,LOGIS,0.6
30,13,SVM,0.5666666666666667
30,13,KNN,0.5666666666666667
30,13,RF,0.7666666666666667
30,13,XGB,0.7
30,14,LOGIS,0.8333333333333334
30,14,SVM,0.7666666666666668
30,14,KNN,0.7
30,14,RF,0.7333333333333333
30,14,XGB,0.7333333333333333
30,15,LOGIS,0.6666666666666667
30,15,SVM,0.7333333333333334
30,15,KNN,0.5
30,15,RF,0.8
30,15,XGB,0.6666666666666666
30,16,LOGIS,0.9333333333333332
30,16,SVM,0.7999999999999999
30,16,KNN,0.7666666666666666
30,16,RF,0.7666666666666666
30,16,XGB,0.7666666666666666
30,17,LOGIS,0.9
30,17,SVM,0.8
30,17,KNN,0.7666666666666668
30,17,RF,0.8333333333333334
30,17,XGB,0.8666666666666668
30,18,LOGIS,0.7
30,18,SVM,0.6666666666666667
30,18,KNN,0.7
30,18,RF,0.6
30,18,XGB,0.4666666666666667
30,19,LOGIS,0.8666666666666666
30,19,SVM,0.9
30,19,KNN,0.7
30,19,RF,0.9
30,19,XGB,0.7999999999999999
30,20,LOGIS,0.7666666666666667
30,20,SVM,0.7999999999999999
30,20,KNN,0.7
30,20,RF,0.8333333333333334
30,20,XGB,0.8333333333333333
30,21,LOGIS,0.8333333333333333
30,21,SVM,0.7666666666666666
30,21,KNN,0.7
30,21,RF,0.7333333333333332
30,21,XGB,0.8666666666666668
30,22,LOGIS,0.8
30,22,SVM,0.7666666666666668
30,22,KNN,0.6
30,22,RF,0.7666666666666668
30,22,XGB,0.8
30,23,LOGIS,0.7
30,23,SVM,0.7333333333333334
30,23,KNN,0.7
30,23,RF,0.7333333333333333
30,23,XGB,0.6666666666666666
30,24,LOGIS,0.8
30,24,SVM,0.7666666666666667
30,24,KNN,0.5
30,24,RF,0.7666666666666667
30,24,XGB,0.8
30,25,LOGIS,0.8
30,25,SVM,0.6666666666666667
30,25,KNN,0.7333333333333334
30,25,RF,0.6
30,25,XGB,0.5666666666666667
30,26,LOGIS,0.7666666666666666
30,26,SVM,0.6666666666666667
30,26,KNN,0.6666666666666667
30,26,RF,0.7666666666666667
30,26,XGB,0.8
30,27,LOGIS,0.8333333333333334
30,27,SVM,0.8
30,27,KNN,0.7333333333333334
30,27,RF,0.8
30,27,XGB,0.7333333333333333
30,28,LOGIS,0.6
30,28,SVM,0.6
30,28,KNN,0.6333333333333334
30,28,RF,0.7
30,28,XGB,0.6333333333333333
30,29,LOGIS,0.7
30,29,SVM,0.8333333333333334
30,29,KNN,0.8
30,29,RF,0.8
30,29,XGB,0.8333333333333334
40,0,LOGIS,0.875
40,0,SVM,0.675
40,0,KNN,0.675
40,0,RF,0.7
40,0,XGB,0.625
40,1,LOGIS,0.85
40,1,SVM,0.85
40,1,KNN,0.75
40,1,RF,0.875
40,1,XGB,0.875
40,2,LOGIS,0.825
40,2,SVM,0.8
40,2,KNN,0.7
40,2,RF,0.775
40,2,XGB,0.85
40,3,LOGIS,0.775
40,3,SVM,0.725
40,3,KNN,0.65
40,3,RF,0.675
40,3,XGB,0.65
40,4,LOGIS,0.875
40,4,SVM,0.825
40,4,KNN,0.8
40,4,RF,0.925
40,4,XGB,0.875
40,5,LOGIS,0.65
40,5,SVM,0.8
40,5,KNN,0.725
40,5,RF,0.65
40,5,XGB,0.725
40,6,LOGIS,0.875
40,6,SVM,0.775
40,6,KNN,0.75
40,6,RF,0.775
40,6,XGB,0.775
40,7,LOGIS,0.85
40,7,SVM,0.725
40,7,KNN,0.7
40,7,RF,0.6
40,7,XGB,0.675
40,8,LOGIS,0.75
40,8,SVM,0.675
40,8,KNN,0.725
40,8,RF,0.625
40,8,XGB,0.75
40,9,LOGIS,0.8
40,9,SVM,0.75
40,9,KNN,0.7
40,9,RF,0.725
40,9,XGB,0.75
40,10,LOGIS,0.575
40,10,SVM,0.675
40,10,KNN,0.675
40,10,RF,0.7
40,10,XGB,0.625
40,11,LOGIS,0.65
40,11,SVM,0.65
40,11,KNN,0.675
40,11,RF,0.675
40,11,XGB,0.625
40,12,LOGIS,0.6
40,12,SVM,0.575
40,12,KNN,0.55
40,12,RF,0.625
40,12,XGB,0.55
40,13,LOGIS,0.8
40,13,SVM,0.675
40,13,KNN,0.425
40,13,RF,0.575
40,13,XGB,0.725
40,14,LOGIS,0.825
40,14,SVM,0.75
40,14,KNN,0.75
40,14,RF,0.8
40,14,XGB,0.825
40,15,LOGIS,0.775
40,15,SVM,0.775
40,15,KNN,0.725
40,15,RF,0.75
40,15,XGB,0.8
40,16,LOGIS,0.775
40,16,SVM,0.7
40,16,KNN,0.65
40,16,RF,0.675
40,16,XGB,0.775
40,17,LOGIS,0.85
40,17,SVM,0.8
40,17,KNN,0.75
40,17,RF,0.775
40,17,XGB,0.775
40,18,LOGIS,0.85
40,18,SVM,0.8
40,18,KNN,0.8
40,18,RF,0.8
40,18,XGB,0.8
40,19,LOGIS,0.825
40,19,SVM,0.825
40,19,KNN,0.825
40,19,RF,0.8
40,19,XGB,0.875
40,20,LOGIS,0.8
40,20,SVM,0.775
40,20,KNN,0.7
40,20,RF,0.675
40,20,XGB,0.75
40,21,LOGIS,0.75
40,21,SVM,0.7
40,21,KNN,0.7
40,21,RF,0.65
40,21,XGB,0.75
40,22,LOGIS,0.775
40,22,SVM,0.7
40,22,KNN,0.6
40,22,RF,0.65
40,22,XGB,0.7
40,23,LOGIS,0.8
40,23,SVM,0.525
40,23,KNN,0.55
40,23,RF,0.4
40,23,XGB,0.45
40,24,LOGIS,0.85
40,24,SVM,0.8
40,24,KNN,0.75
40,24,RF,0.85
40,24,XGB,0.8
40,25,LOGIS,0.625
40,25,SVM,0.6
40,25,KNN,0.4
40,25,RF,0.625
40,25,XGB,0.725
40,26,LOGIS,0.875
40,26,SVM,0.85
40,26,KNN,0.675
40,26,RF,0.675
40,26,XGB,0.725
40,27,LOGIS,0.775
40,27,SVM,0.75
40,27,KNN,0.625
40,27,RF,0.7
40,27,XGB,0.75
40,28,LOGIS,0.875
40,28,SVM,0.825
40,28,KNN,0.725
40,28,RF,0.775
40,28,XGB,0.775
40,29,LOGIS,0.9
40,29,SVM,0.775
40,29,KNN,0.625
40,29,RF,0.775
40,29,XGB,0.775
50,0,LOGIS,0.76
50,0,SVM,0.7799999999999999
50,0,KNN,0.74
50,0,RF,0.78
50,0,XGB,0.76
50,1,LOGIS,0.78
50,1,SVM,0.8400000000000001
50,1,KNN,0.78
50,1,RF,0.78
50,1,XGB,0.78
50,2,LOGIS,0.7200000000000001
50,2,SVM,0.6
50,2,KNN,0.6199999999999999
50,2,RF,0.6
50,2,XGB,0.62
50,3,LOGIS,0.7600000000000001
50,3,SVM,0.7
50,3,KNN,0.64
50,3,RF,0.72
50,3,XGB,0.74
50,4,LOGIS,0.8
50,4,SVM,0.7600000000000001
50,4,KNN,0.76
50,4,RF,0.72
50,4,XGB,0.78
50,5,LOGIS,0.86
50,5,SVM,0.7399999999999999
50,5,KNN,0.6199999999999999
50,5,RF,0.76
50,5,XGB,0.78
50,6,LOGIS,0.8
50,6,SVM,0.78
50,6,KNN,0.7
50,6,RF,0.78
50,6,XGB,0.74
50,7,LOGIS,0.86
50,7,SVM,0.78
50,7,KNN,0.6799999999999999
50,7,RF,0.7200000000000001
50,7,XGB,0.7999999999999999
50,8,LOGIS,0.74
50,8,SVM,0.64
50,8,KNN,0.68
50,8,RF,0.66
50,8,XGB,0.64
50,9,LOGIS,0.9
50,9,SVM,0.9
50,9,KNN,0.82
50,9,RF,0.8200000000000001
50,9,XGB,0.76
50,10,LOGIS,0.72
50,10,SVM,0.74
50,10,KNN,0.64
50,10,RF,0.7
50,10,XGB,0.76
50,11,LOGIS,0.6599999999999999
50,11,SVM,0.64
50,11,KNN,0.5399999999999999
50,11,RF,0.6799999999999999
50,11,XGB,0.72
50,12,LOGIS,0.86
50,12,SVM,0.6799999999999999
50,12,KNN,0.62
50,12,RF,0.72
50,12,XGB,0.76
50,13,LOGIS,0.9199999999999999
50,13,SVM,0.8799999999999999
50,13,KNN,0.8399999999999999
50,13,RF,0.9199999999999999
50,13,XGB,0.8200000000000001
50,14,LOGIS,0.86
50,14,SVM,0.8400000000000001
50,14,KNN,0.8
50,14,RF,0.8400000000000001
50,14,XGB,0.82
50,15,LOGIS,0.6399999999999999
50,15,SVM,0.6399999999999999
50,15,KNN,0.5800000000000001
50,15,RF,0.6
50,15,XGB,0.7
50,16,LOGIS,0.8400000000000001
50,16,SVM,0.7399999999999999
50,16,KNN,0.74
50,16,RF,0.82
50,16,XGB,0.78
50,17,LOGIS,0.72
50,17,SVM,0.68
50,17,KNN,0.68
50,17,RF,0.64
50,17,XGB,0.68
50,18,LOGIS,0.9199999999999999
50,18,SVM,0.8200000000000001
50,18,KNN,0.74
50,18,RF,0.8
50,18,XGB,0.8600000000000001
50,19,LOGIS,0.7799999999999999
50,19,SVM,0.6799999999999999
50,19,KNN,0.7000000000000001
50,19,RF,0.64
50,19,XGB,0.6799999999999999
50,20,LOGIS,0.7000000000000001
50,20,SVM,0.5800000000000001
50,20,KNN,0.5800000000000001
50,20,RF,0.6599999999999999
50,20,XGB,0.7
50,21,LOGIS,0.7399999999999999
50,21,SVM,0.7
50,21,KNN,0.7
50,21,RF,0.72
50,21,XGB,0.6399999999999999
50,22,LOGIS,0.68
50,22,SVM,0.6199999999999999
50,22,KNN,0.44000000000000006
50,22,RF,0.64
50,22,XGB,0.74
50,23,LOGIS,0.8400000000000001
50,23,SVM,0.8
50,23,KNN,0.72
50,23,RF,0.8400000000000001
50,23,XGB,0.8400000000000001
50,24,LOGIS,0.76
50,24,SVM,0.6799999999999999
50,24,KNN,0.6599999999999999
50,24,RF,0.72
50,24,XGB,0.6599999999999999
50,25,LOGIS,0.9400000000000001
50,25,SVM,0.78
50,25,KNN,0.76
50,25,RF,0.7600000000000001
50,25,XGB,0.78
50,26,LOGIS,0.8
50,26,SVM,0.78
50,26,KNN,0.68
50,26,RF,0.86
50,26,XGB,0.8400000000000001
50,27,LOGIS,0.74
50,27,SVM,0.5599999999999999
50,27,KNN,0.6599999999999999
50,27,RF,0.6
50,27,XGB,0.6
50,28,LOGIS,0.78
50,28,SVM,0.72
50,28,KNN,0.68
50,28,RF,0.72
50,28,XGB,0.76
50,29,LOGIS,0.5800000000000001
50,29,SVM,0.5800000000000001
50,29,KNN,0.52
50,29,RF,0.6
50,29,XGB,0.6199999999999999
60,0,LOGIS,0.8
60,0,SVM,0.75
60,0,KNN,0.6666666666666667
60,0,RF,0.7
60,0,XGB,0.7666666666666666
60,1,LOGIS,0.7333333333333333
60,1,SVM,0.7
60,1,KNN,0.6833333333333333
60,1,RF,0.6666666666666667
60,1,XGB,0.6833333333333333
60,2,LOGIS,0.7666666666666666
60,2,SVM,0.7
60,2,KNN,0.6499999999999999
60,2,RF,0.6666666666666666
60,2,XGB,0.7166666666666667
60,3,LOGIS,0.75
60,3,SVM,0.7666666666666667
60,3,KNN,0.7166666666666666
60,3,RF,0.7166666666666667
60,3,XGB,0.7333333333333333
60,4,LOGIS,0.8166666666666667
60,4,SVM,0.7333333333333333
60,4,KNN,0.7333333333333333
60,4,RF,0.7666666666666667
60,4,XGB,0.7333333333333333
60,5,LOGIS,0.85
60,5,SVM,0.8833333333333334
60,5,KNN,0.8
60,5,RF,0.8666666666666668
60,5,XGB,0.85
60,6,LOGIS,0.8166666666666667
60,6,SVM,0.7833333333333333
60,6,KNN,0.7666666666666666
60,6,RF,0.8
60,6,XGB,0.8
60,7,LOGIS,0.8333333333333333
60,7,SVM,0.6333333333333333
60,7,KNN,0.65
60,7,RF,0.6333333333333334
60,7,XGB,0.6833333333333333
60,8,LOGIS,0.8833333333333334
60,8,SVM,0.75
60,8,KNN,0.7000000000000001
60,8,RF,0.75
60,8,XGB,0.7666666666666668
60,9,LOGIS,0.7333333333333333
60,9,SVM,0.6833333333333333
60,9,KNN,0.7
60,9,RF,0.7666666666666667
60,9,XGB,0.6666666666666667
60,10,LOGIS,0.8166666666666667
60,10,SVM,0.8333333333333334
60,10,KNN,0.7833333333333333
60,10,RF,0.8
60,10,XGB,0.7499999999999999
60,11,LOGIS,0.6499999999999999
60,11,SVM,0.7
60,11,KNN,0.6833333333333333
60,11,RF,0.7166666666666666
60,11,XGB,0.6833333333333333
60,12,LOGIS,0.8166666666666667
60,12,SVM,0.7666666666666667
60,12,KNN,0.6166666666666667
60,12,RF,0.75
60,12,XGB,0.7166666666666667
60,13,LOGIS,0.8
60,13,SVM,0.75
60,13,KNN,0.6833333333333332
60,13,RF,0.7499999999999999
60,13,XGB,0.7833333333333333
60,14,LOGIS,0.8666666666666666
60,14,SVM,0.7666666666666666
60,14,KNN,0.7333333333333333
60,14,RF,0.75
60,14,XGB,0.7500000000000001
60,15,LOGIS,0.7999999999999999
60,15,SVM,0.8
60,15,KNN,0.75
60,15,RF,0.7666666666666668
60,15,XGB,0.7333333333333334
60,16,LOGIS,0.6333333333333334
60,16,SVM,0.7666666666666668
60,16,KNN,0.75
60,16,RF,0.8166666666666668
60,16,XGB,0.7833333333333334
60,17,LOGIS,0.7666666666666666
60,17,SVM,0.75
60,17,KNN,0.6666666666666667
60,17,RF,0.75
60,17,XGB,0.6666666666666666
60,18,LOGIS,0.8833333333333332
60,18,SVM,0.8
60,18,KNN,0.8
60,18,RF,0.7666666666666667
60,18,XGB,0.7666666666666667
60,19,LOGIS,0.8666666666666666
60,19,SVM,0.7500000000000001
60,19,KNN,0.7166666666666667
60,19,RF,0.8333333333333334
60,19,XGB,0.8
60,20,LOGIS,0.8166666666666668
