total_size,draw,method,f1_score,accuracy,auc
16,6,SVM,0.4066666666666666,0.55,0.4
16,6,KNN,0.58,0.6166666666666666,0.5
16,6,RF,0.5266666666666666,0.6166666666666667,0.7
16,6,XGB,0.3,0.3666666666666666,0.35
16,7,LOGIS,0.41666666666666663,0.4333333333333333,0.4
16,7,SVM,0.32666666666666666,0.5,0.4
16,7,KNN,0.3,0.45,0.425
16,7,RF,0.24666666666666667,0.36666666666666664,0.3
16,7,XGB,0.3333333333333333,0.3666666666666666,0.3
16,8,LOGIS,0.53,0.5499999999999999,0.6
16,8,SVM,0.35666666666666663,0.5666666666666667,0.45
16,8,KNN,0.41666666666666663,0.5,0.525
16,8,RF,0.45,0.5,0.5
16,8,XGB,0.44666666666666666,0.4833333333333334,0.5
16,9,LOGIS,0.5333333333333333,0.5333333333333333,0.6
16,9,SVM,0.2966666666666667,0.4333333333333333,0.4
16,9,KNN,0.3833333333333333,0.5166666666666666,0.35
16,9,RF,0.42333333333333334,0.45,0.5
16,9,XGB,0.6833333333333333,0.7,0.7
16,10,LOGIS,0.3833333333333333,0.4333333333333333,0.4
16,10,SVM,0.2966666666666667,0.4333333333333333,0.75
16,10,KNN,0.22000000000000003,0.31666666666666665,0.3
16,10,RF,0.3,0.3666666666666666,0.2
16,10,XGB,0.4333333333333333,0.4999999999999999,0.4
16,11,LOGIS,0.5499999999999999,0.5666666666666667,0.5
16,11,SVM,0.4766666666666667,0.6333333333333333,0.3
16,11,KNN,0.6833333333333333,0.7,0.675
16,11,RF,0.73,0.75,0.7
16,11,XGB,0.48,0.4833333333333333,0.5
16,12,LOGIS,0.9333333333333332,0.9333333333333332,0.9
16,12,SVM,0.5666666666666667,0.6333333333333333,0.2
16,12,KNN,0.7,0.7333333333333334,0.85
16,12,RF,0.7333333333333333,0.7666666666666666,0.85
16,12,XGB,0.6900000000000001,0.7166666666666666,0.7
16,13,LOGIS,0.7166666666666666,0.7333333333333333,0.8
16,13,SVM,0.4766666666666667,0.6333333333333333,0.3
16,13,KNN,0.37666666666666665,0.4833333333333333,0.55
16,13,RF,0.8133333333333332,0.8166666666666667,0.8
16,13,XGB,0.53,0.55,0.55
16,14,LOGIS,0.37333333333333335,0.3833333333333333,0.45
16,14,SVM,0.32666666666666666,0.5,0.45
16,14,KNN,0.22999999999999998,0.29999999999999993,0.325
16,14,RF,0.39,0.45,0.4
16,14,XGB,0.58,0.6166666666666667,0.45
16,15,LOGIS,0.58,0.6166666666666667,0.75
16,15,SVM,0.4766666666666667,0.6333333333333333,0.3
16,15,KNN,0.30333333333333334,0.3833333333333333,0.625
16,15,RF,0.6466666666666667,0.6833333333333333,0.75
16,15,XGB,0.6633333333333333,0.6833333333333333,0.6
16,16,LOGIS,0.5666666666666667,0.5666666666666667,0.65
16,16,SVM,0.27666666666666667,0.4333333333333333,0.15
16,16,KNN,0.44666666666666666,0.4833333333333333,0.55
16,16,RF,0.6333333333333333,0.6333333333333333,0.6
16,16,XGB,0.55,0.5666666666666667,0.65
16,17,LOGIS,0.6333333333333333,0.6333333333333333,0.55
16,17,SVM,0.39666666666666667,0.5,0.45
16,17,KNN,0.4,0.4333333333333333,0.425
16,17,RF,0.5966666666666667,0.6166666666666667,0.6
16,17,XGB,0.45,0.5,0.4
16,18,LOGIS,0.3833333333333333,0.4333333333333333,0.25
16,18,SVM,0.2966666666666667,0.4333333333333333,0.6
16,18,KNN,0.22000000000000003,0.31666666666666665,0.275
16,18,RF,0.58,0.6166666666666666,0.4
16,18,XGB,0.48,0.4833333333333333,0.45
16,19,LOGIS,0.6833333333333333,0.7,0.65
16,19,SVM,0.4766666666666667,0.6333333333333333,0.35
16,19,KNN,0.5333333333333333,0.5666666666666667,0.7
16,19,RF,0.5466666666666666,0.6333333333333333,0.675
16,19,XGB,0.42333333333333334,0.45,0.45
16,20,LOGIS,0.8333333333333333,0.8333333333333333,0.95
16,20,SVM,0.6766666666666666,0.75,0.25
16,20,KNN,0.61,0.6833333333333333,0.85
16,20,RF,0.8333333333333334,0.8333333333333334,0.95
16,20,XGB,0.6166666666666666,0.6333333333333333,0.65
16,21,LOGIS,0.3,0.3333333333333333,0.3
16,21,SVM,0.32666666666666666,0.5,0.7
16,21,KNN,0.27999999999999997,0.3666666666666666,0.35
16,21,RF,0.3466666666666667,0.41666666666666663,0.3
16,21,XGB,0.58,0.6166666666666666,0.65
16,22,LOGIS,0.2733333333333333,0.3166666666666666,0.4
16,22,SVM,0.2966666666666667,0.4333333333333333,0.65
16,22,KNN,0.21666666666666665,0.29999999999999993,0.45
16,22,RF,0.24,0.3166666666666666,0.05
16,22,XGB,0.3466666666666667,0.41666666666666663,0.3
16,23,LOGIS,0.2833333333333333,0.29999999999999993,0.15
16,23,SVM,0.32666666666666666,0.5,0.8
16,23,KNN,0.27999999999999997,0.2833333333333333,0.25
16,23,RF,0.17,0.25,0.2
16,23,XGB,0.35333333333333333,0.45,0.35
16,24,LOGIS,0.6399999999999999,0.6499999999999999,0.7
16,24,SVM,0.43666666666666665,0.6166666666666666,0.4
16,24,KNN,0.47333333333333333,0.5166666666666667,0.5
16,24,RF,0.4666666666666666,0.4999999999999999,0.4
16,24,XGB,0.4333333333333333,0.4999999999999999,0.325
16,25,LOGIS,0.6799999999999999,0.6833333333333333,0.65
16,25,SVM,0.44666666666666666,0.5666666666666667,0.3
16,25,KNN,0.5666666666666667,0.6,0.65
16,25,RF,0.6799999999999999,0.6833333333333333,0.725
16,25,XGB,0.6333333333333333,0.6333333333333333,0.7
16,26,LOGIS,0.35666666666666663,0.3833333333333333,0.5
16,26,SVM,0.32333333333333336,0.3833333333333333,0.7
16,26,KNN,0.35666666666666663,0.3833333333333333,0.4
16,26,RF,0.32333333333333336,0.3833333333333333,0.45
16,26,XGB,0.45,0.5,0.55
16,27,LOGIS,0.39,0.45,0.35
16,27,SVM,0.44666666666666666,0.5666666666666667,0.6
16,27,KNN,0.5333333333333333,0.5666666666666667,0.5
16,27,RF,0.3333333333333333,0.3666666666666666,0.2
16,27,XGB,0.32999999999999996,0.4333333333333333,0.15
16,28,LOGIS,0.6333333333333333,0.6666666666666666,0.6
16,28,SVM,0.4766666666666667,0.6333333333333333,0.5
16,28,KNN,0.5833333333333333,0.5999999999999999,0.65
16,28,RF,0.38,0.4166666666666667,0.5
16,28,XGB,0.27999999999999997,0.2833333333333333,0.3
16,29,LOGIS,0.7,0.7,0.85
16,29,SVM,0.44666666666666666,0.5666666666666667,0.2
16,29,KNN,0.43,0.4833333333333334,0.65
16,29,RF,0.61,0.6833333333333333,0.75
16,29,XGB,0.43,0.4833333333333334,0.45
18,0,LOGIS,0.4666666666666667,0.4833333333333333,0.5
18,0,SVM,0.32999999999999996,0.5,0.5
18,0,KNN,0.30333333333333334,0.45,0.425
