total_size,draw,method,accuracy
50,0,LOGIS,0.8200000000000001
50,0,SVM,0.8
50,0,KNN,0.78
50,0,RF,0.78
50,0,XGB,0.8
50,1,LOGIS,0.8800000000000001
50,1,SVM,0.82
50,1,KNN,0.78
50,1,RF,0.7799999999999999
50,1,XGB,0.6599999999999999
50,2,LOGIS,0.58
50,2,SVM,0.6799999999999999
50,2,KNN,0.76
50,2,RF,0.76
50,2,XGB,0.7
50,3,LOGIS,0.6399999999999999
50,3,SVM,0.7
50,3,KNN,0.76
50,3,RF,0.7
50,3,XGB,0.6599999999999999
50,4,LOGIS,0.82
50,4,SVM,0.8
50,4,KNN,0.7399999999999999
50,4,RF,0.76
50,4,XGB,0.74
50,5,LOGIS,0.8800000000000001
50,5,SVM,0.72
50,5,KNN,0.6
50,5,RF,0.6599999999999999
50,5,XGB,0.74
50,6,LOGIS,0.8400000000000001
50,6,SVM,0.78
50,6,KNN,0.76
50,6,RF,0.78
50,6,XGB,0.7
50,7,LOGIS,0.5399999999999999
50,7,SVM,0.72
50,7,KNN,0.72
50,7,RF,0.7
50,7,XGB,0.56
50,8,LOGIS,0.8600000000000001
50,8,SVM,0.8400000000000001
50,8,KNN,0.78
50,8,RF,0.78
50,8,XGB,0.8400000000000001
50,9,LOGIS,0.7200000000000001
50,9,SVM,0.78
50,9,KNN,0.72
50,9,RF,0.8200000000000001
50,9,XGB,0.8
50,10,LOGIS,0.8200000000000001
50,10,SVM,0.8
50,10,KNN,0.74
50,10,RF,0.8
50,10,XGB,0.6399999999999999
50,11,LOGIS,0.7200000000000001
50,11,SVM,0.76
50,11,KNN,0.6799999999999999
50,11,RF,0.66
50,11,XGB,0.6199999999999999
50,12,LOGIS,0.7799999999999999
50,12,SVM,0.8
50,12,KNN,0.72
50,12,RF,0.76
50,12,XGB,0.8000000000000002
50,13,LOGIS,0.7999999999999999
50,13,SVM,0.8
50,13,KNN,0.7
50,13,RF,0.76
50,13,XGB,0.7
50,14,LOGIS,0.7399999999999999
50,14,SVM,0.8
50,14,KNN,0.7799999999999999
50,14,RF,0.76
50,14,XGB,0.78
50,15,LOGIS,0.76
50,15,SVM,0.8
50,15,KNN,0.76
50,15,RF,0.7400000000000001
50,15,XGB,0.6599999999999999
50,16,LOGIS,0.7
50,16,SVM,0.76
50,16,KNN,0.68
50,16,RF,0.8
50,16,XGB,0.8400000000000001
50,17,LOGIS,0.8399999999999999
50,17,SVM,0.86
50,17,KNN,0.8200000000000001
50,17,RF,0.8800000000000001
50,17,XGB,0.8800000000000001
50,18,LOGIS,0.78
50,18,SVM,0.76
50,18,KNN,0.76
50,18,RF,0.8
50,18,XGB,0.76
50,19,LOGIS,0.62
50,19,SVM,0.74
50,19,KNN,0.6199999999999999
50,19,RF,0.6399999999999999
50,19,XGB,0.64
50,20,LOGIS,0.76
50,20,SVM,0.8
50,20,KNN,0.76
50,20,RF,0.74
50,20,XGB,0.76
50,21,LOGIS,0.7799999999999999
50,21,SVM,0.74
50,21,KNN,0.68
50,21,RF,0.7
50,21,XGB,0.7399999999999999
50,22,LOGIS,0.6199999999999999
50,22,SVM,0.74
50,22,KNN,0.7
50,22,RF,0.7
50,22,XGB,0.5
50,23,LOGIS,0.74
50,23,SVM,0.76
50,23,KNN,0.74
50,23,RF,0.7
50,23,XGB,0.7
50,24,LOGIS,0.8
50,24,SVM,0.8
50,24,KNN,0.76
50,24,RF,0.76
50,24,XGB,0.76
50,25,LOGIS,0.8
50,25,SVM,0.8200000000000001
50,25,KNN,0.72
50,25,RF,0.76
50,25,XGB,0.7600000000000001
50,26,LOGIS,0.7
50,26,SVM,0.8
50,26,KNN,0.74
50,26,RF,0.7399999999999999
50,26,XGB,0.72
50,27,LOGIS,0.6799999999999999
50,27,SVM,0.7799999999999999
50,27,KNN,0.74
50,27,RF,0.8
50,27,XGB,0.74
50,28,LOGIS,0.76
50,28,SVM,0.7600000000000001
50,28,KNN,0.7
50,28,RF,0.74
50,28,XGB,0.72
50,29,LOGIS,0.72
50,29,SVM,0.74
50,29,KNN,0.6799999999999999
50,29,RF,0.74
50,29,XGB,0.6
60,0,LOGIS,0.8333333333333334
60,0,SVM,0.7666666666666666
60,0,KNN,0.7833333333333332
60,0,RF,0.7833333333333333
60,0,XGB,0.7999999999999999
60,1,LOGIS,0.7333333333333334
60,1,SVM,0.8
60,1,KNN,0.7833333333333333
60,1,RF,0.75
60,1,XGB,0.7333333333333334
60,2,LOGIS,0.8166666666666668
60,2,SVM,0.85
60,2,KNN,0.85
