total_size,draw,method,f1_score
28,1,SVM,0.7323809523809522
28,1,KNN,0.6564285714285714
28,1,RF,0.768095238095238
28,1,XGB,0.6495238095238095
28,2,LOGIS,0.8933333333333333
28,2,SVM,0.8933333333333333
28,2,KNN,0.8971428571428571
28,2,RF,0.7847619047619048
28,2,XGB,0.6819047619047619
28,3,LOGIS,0.7847619047619047
28,3,SVM,0.7847619047619047
28,3,KNN,0.6995238095238095
28,3,RF,0.7490476190476191
28,3,XGB,0.5333333333333333
28,4,LOGIS,0.7814285714285714
28,4,SVM,0.8138095238095238
28,4,KNN,0.5121428571428571
28,4,RF,0.7323809523809522
28,4,XGB,0.6295238095238094
28,5,LOGIS,0.7847619047619047
28,5,SVM,0.7738095238095237
28,5,KNN,0.5888095238095238
28,5,RF,0.6573809523809523
28,5,XGB,0.5928571428571429
28,6,LOGIS,0.6138095238095238
28,6,SVM,0.6876190476190477
28,6,KNN,0.6583333333333333
28,6,RF,0.7257142857142856
28,6,XGB,0.5583333333333332
28,7,LOGIS,0.7714285714285715
28,7,SVM,0.8114285714285714
28,7,KNN,0.7661904761904761
28,7,RF,0.7295238095238095
28,7,XGB,0.7833333333333332
28,8,LOGIS,0.8933333333333333
28,8,SVM,0.9314285714285712
28,8,KNN,0.819047619047619
28,8,RF,0.8590476190476191
28,8,XGB,0.8514285714285714
28,9,LOGIS,0.6819047619047619
28,9,SVM,0.7980952380952381
28,9,KNN,0.64
28,9,RF,0.6761904761904761
28,9,XGB,0.7885714285714286
28,10,LOGIS,1.0
28,10,SVM,1.0
28,10,KNN,0.8480952380952381
28,10,RF,0.8823809523809523
28,10,XGB,0.7171428571428571
28,11,LOGIS,0.6742857142857143
28,11,SVM,0.6961904761904761
28,11,KNN,0.5933333333333334
28,11,RF,0.5695238095238094
28,11,XGB,0.6742857142857143
28,12,LOGIS,0.8285714285714285
28,12,SVM,0.8171428571428571
28,12,KNN,0.7764285714285715
28,12,RF,0.780952380952381
28,12,XGB,0.7847619047619048
28,13,LOGIS,0.6480952380952381
28,13,SVM,0.6138095238095238
28,13,KNN,0.6252380952380951
28,13,RF,0.6504761904761904
28,13,XGB,0.6614285714285713
28,14,LOGIS,0.85
28,14,SVM,0.8114285714285714
28,14,KNN,0.5011904761904762
28,14,RF,0.5373809523809523
28,14,XGB,0.479047619047619
28,15,LOGIS,0.85
28,15,SVM,0.8157142857142856
28,15,KNN,0.6495238095238095
28,15,RF,0.7219047619047618
28,15,XGB,0.7814285714285714
28,16,LOGIS,0.61
28,16,SVM,0.6171428571428571
28,16,KNN,0.4638095238095238
28,16,RF,0.5085714285714286
28,16,XGB,0.4638095238095238
28,17,LOGIS,0.5895238095238096
28,17,SVM,0.6652380952380952
28,17,KNN,0.6290476190476191
28,17,RF,0.5461904761904762
28,17,XGB,0.4938095238095237
28,18,LOGIS,0.7923809523809524
28,18,SVM,0.8647619047619047
28,18,KNN,0.7402380952380951
28,18,RF,0.7638095238095237
28,18,XGB,0.6876190476190477
28,19,LOGIS,0.8495238095238096
28,19,SVM,0.8171428571428571
28,19,KNN,0.7485714285714286
28,19,RF,0.780952380952381
28,19,XGB,0.6290476190476191
28,20,LOGIS,0.8571428571428571
28,20,SVM,0.8571428571428571
28,20,KNN,0.8221428571428572
28,20,RF,0.707857142857143
28,20,XGB,0.6366666666666667
28,21,LOGIS,0.8914285714285715
28,21,SVM,0.8914285714285715
28,21,KNN,0.6621428571428571
28,21,RF,0.7923809523809524
28,21,XGB,0.659047619047619
28,22,LOGIS,0.9657142857142856
28,22,SVM,0.9657142857142856
28,22,KNN,0.8907142857142857
28,22,RF,0.9657142857142856
28,22,XGB,0.8990476190476191
28,23,LOGIS,0.8080952380952381
28,23,SVM,0.8823809523809523
28,23,KNN,0.7357142857142855
28,23,RF,0.6595238095238095
28,23,XGB,0.4557142857142857
28,24,LOGIS,0.7161904761904762
28,24,SVM,0.7161904761904762
28,24,KNN,0.5883333333333333
28,24,RF,0.5954761904761905
28,24,XGB,0.5009523809523809
28,25,LOGIS,0.8285714285714285
28,25,SVM,0.7961904761904762
28,25,KNN,0.780952380952381
28,25,RF,0.8285714285714285
28,25,XGB,0.7885714285714286
28,26,LOGIS,0.9333333333333332
28,26,SVM,0.9333333333333332
28,26,KNN,0.8495238095238096
28,26,RF,0.8971428571428571
28,26,XGB,1.0
28,27,LOGIS,0.8323809523809522
28,27,SVM,0.8628571428571428
28,27,KNN,0.7407142857142857
28,27,RF,0.7980952380952381
28,27,XGB,0.7961904761904762
28,28,LOGIS,0.799047619047619
28,28,SVM,0.799047619047619
28,28,KNN,0.7390476190476191
28,28,RF,0.798095238095238
28,28,XGB,0.6764285714285714
28,29,LOGIS,0.96
28,29,SVM,0.96
28,29,KNN,0.7730952380952381
28,29,RF,0.7240476190476188
28,29,XGB,0.7395238095238094
